
#################################################################
------------------
Query Setting:
source: 0	target: 4	startTime: 0	TDSP: 21300	budget: 10082000% SP	SPValue: 2
Iter: 100	G size: 0	TotalProcessTimeSofar: 3232	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 101	G size: 0	TotalProcessTimeSofar: 3264	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 102	G size: 0	TotalProcessTimeSofar: 3296	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 103	G size: 0	TotalProcessTimeSofar: 3328	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 104	G size: 0	TotalProcessTimeSofar: 3360	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 105	G size: 0	TotalProcessTimeSofar: 3392	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 106	G size: 0	TotalProcessTimeSofar: 3424	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 107	G size: 0	TotalProcessTimeSofar: 3456	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 108	G size: 0	TotalProcessTimeSofar: 3488	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 109	G size: 0	TotalProcessTimeSofar: 3520	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 110	G size: 0	TotalProcessTimeSofar: 3552	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 111	G size: 0	TotalProcessTimeSofar: 3584	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 112	G size: 0	TotalProcessTimeSofar: 3616	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 113	G size: 0	TotalProcessTimeSofar: 3648	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 114	G size: 0	TotalProcessTimeSofar: 3680	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 115	G size: 0	TotalProcessTimeSofar: 3712	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 116	G size: 0	TotalProcessTimeSofar: 3744	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 117	G size: 0	TotalProcessTimeSofar: 3776	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 118	G size: 0	TotalProcessTimeSofar: 3808	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 119	G size: 0	TotalProcessTimeSofar: 3840	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 120	G size: 0	TotalProcessTimeSofar: 3872	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 121	G size: 0	TotalProcessTimeSofar: 3904	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 122	G size: 0	TotalProcessTimeSofar: 3936	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 123	G size: 0	TotalProcessTimeSofar: 3968	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 124	G size: 0	TotalProcessTimeSofar: 4000	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 125	G size: 0	TotalProcessTimeSofar: 4032	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 126	G size: 0	TotalProcessTimeSofar: 4064	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 127	G size: 0	TotalProcessTimeSofar: 4096	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 128	G size: 0	TotalProcessTimeSofar: 4128	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 129	G size: 0	TotalProcessTimeSofar: 4160	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 130	G size: 0	TotalProcessTimeSofar: 4192	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 131	G size: 0	TotalProcessTimeSofar: 4224	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 132	G size: 0	TotalProcessTimeSofar: 4256	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 133	G size: 0	TotalProcessTimeSofar: 4288	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 134	G size: 0	TotalProcessTimeSofar: 4320	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 135	G size: 0	TotalProcessTimeSofar: 4352	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 136	G size: 0	TotalProcessTimeSofar: 4384	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 137	G size: 0	TotalProcessTimeSofar: 4416	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 138	G size: 0	TotalProcessTimeSofar: 4448	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 139	G size: 0	TotalProcessTimeSofar: 4480	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 140	G size: 0	TotalProcessTimeSofar: 4512	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
